ds,yhat,yhat_lower,yhat_upper
1980-01-01,3.81041413284,-0.5196391181073324,7.802304373358368
1981-01-01,3.6591954716873594,-0.22385901301252914,7.548173026696405
1982-01-01,3.508389976275573,-0.6589506203608471,7.395688541077981
1983-01-01,3.3575844808637867,-0.8495819315697313,7.2932493124374655
1984-01-01,3.2067789854520004,-0.7576002323192657,7.547299728447409
1985-01-01,3.0555603242993596,-1.2186362488347382,6.765474657247336
1986-01-01,2.9047548288875733,-1.0394743073922241,6.887405295293922
1987-01-01,2.753949333475786,-1.0758620354666826,6.8361961897193115
1988-01-01,2.603143838064,-1.2368665781465922,6.4246321400911945
1989-01-01,2.4519251769113595,-1.3726058583527392,6.251659321008003
1990-01-01,2.3011196814995727,-1.5913211885994938,6.413263380549651
1991-01-01,2.1503141860877864,-2.0188896795267675,6.158018237160817
1992-01-01,1.999508690676,-1.5084759973414998,6.056637600229104
1993-01-01,1.8482900295233593,-2.3834660599307935,5.733271201708302
1994-01-01,1.6974845341115725,-2.3027708988565805,5.802340082838011
1995-01-01,1.5466790386997862,-2.3807919241443063,5.364563746948169
1996-01-01,1.4867831617660288,-2.480874123871706,5.6289005372409315
1997-01-01,1.4267231865393015,-3.067174085316357,5.212454352140763
1998-01-01,1.3668370182212424,-2.3537756236302876,5.106707818523781
1999-01-01,1.3067782454546866,-2.8652959714640502,5.12885129326389
2000-01-01,1.2467194726881303,-2.757108594389395,5.186173232896145
2001-01-01,1.1705601413918676,-3.019003348596762,4.900029917772804
2002-01-01,1.0762108765430243,-3.0791696182229256,5.19731342445161
2003-01-01,1.0086809487871127,-2.872970267872949,5.122632252197478
2004-01-01,1.0041735496650985,-3.1241830859803863,4.756541904549742
2005-01-01,0.9996467765235058,-2.7674288455827094,5.153772629888175
2006-01-01,0.9915300499423518,-3.365245151182193,4.83049704588452
2007-01-01,0.9813498402809928,-3.165088376611951,5.058308527148109
2008-01-01,0.9708101461498393,-2.919011133939045,5.059274000837965
2009-01-01,0.9602984290685764,-3.1930567804556187,5.056726198405598
2010-01-01,0.9992347161734709,-2.9791348584358124,4.953493589726819
2011-01-01,1.0384420066724807,-2.8805619661868245,5.103367735646948
2012-01-01,1.0044183872799497,-2.904487360357705,5.109639826792399
2013-01-01,0.9703015524918231,-3.4046680138294225,4.89471851879727
2014-01-01,0.9362779330992925,-2.786779356723738,5.162525300389799
2015-01-01,0.9022543137067618,-2.9988939963788126,5.000614386127074
2016-01-01,0.8682306943142309,-2.994936181194829,4.875729829219483
2017-01-01,0.8341138595261044,-2.9910024377480005,4.9459384026490785
2020-01-01,0.7320430013485122,-3.25509186851158,4.336856703923462
2020-12-31,0.6980193819559816,-3.0999373788913007,4.817479024670707
2021-12-31,0.6639957625634505,-3.10168710233417,4.592988995049759
2022-12-31,0.6299721431709199,-3.4162047485302596,4.766280221403469
2023-12-31,0.5959485237783895,-3.5459082622288527,4.314794596987402
2024-12-31,0.5618316889902627,-3.264823993335414,4.902582157925292
